timestamp,operation,command,key,query_or_write,status,duration_ms,error
2026-08-04T08:25:47.503Z,read,SMEMBERS,proof.mqtt:active:devices,proof.mqtt:active:devices,ok,39,
2026-08-04T08:25:47.533Z,read,HGETALL,proof.mqtt:device:DEVICE-17,proof.mqtt:device:DEVICE-17,ok,29,
2026-08-04T08:25:47.585Z,read,TYPE,proof.mqtt:device:DEVICE-17,proof.mqtt:device:DEVICE-17,ok,51,
2026-08-04T08:25:47.736Z,read,HGET,proof.mqtt:device:DEVICE-17,proof.mqtt:device:DEVICE-17 ig_follower_count,ok,150,
2026-08-04T08:25:47.790Z,read,GET,device:followers:DEVICE-17,device:followers:DEVICE-17,ok,54,
2026-08-04T08:25:47.944Z,read,HGETALL,proof.mqtt:device:DEVICE-13,proof.mqtt:device:DEVICE-13,ok,103,
2026-08-04T08:25:52.037Z,write,SCRIPT,LOAD,"local active = redis.call('ZRANGEBYSCORE', KEYS[1], ARGV[1], '+inf')
redis.call('ZREMRANGEBYSCORE', KEYS[1], '-inf', ARGV[1])
return active",ok,162,
2026-08-04T08:25:52.129Z,write,EVALSHA,a872710a5b911f8dfc25388eaee1eacea501a5ab,1 priority_zset 1785831952038,ok,91,
2026-08-04T08:25:52.130Z,read,ZRANGEBYSCORE,priority_zset,priority_zset 1785831952038 +inf,ok,32,
2026-08-04T08:25:52.164Z,read,HGETALL,proof.mqtt:device:DEVICE-13,proof.mqtt:device:DEVICE-13,ok,32,
2026-08-04T08:25:52.164Z,read,HGETALL,proof.mqtt:device:DEVICE-17,proof.mqtt:device:DEVICE-17,ok,31,
2026-08-04T08:25:52.181Z,write,SET,proof-mqtt:ota:scheduler:last_run,2026-08-04T08:25:52.137Z,ok,44,
2026-08-04T08:25:52.213Z,read,GET,proof-mqtt:ota:scheduler:last_run,proof-mqtt:ota:scheduler:last_run,ok,31,
2026-08-04T08:25:52.503Z,read,TYPE,proof.mqtt:device:DEVICE-19,proof.mqtt:device:DEVICE-19,ok,30,
2026-08-04T08:25:52.522Z,read,TYPE,proof.mqtt:device:DEVICE-15,proof.mqtt:device:DEVICE-15,ok,29,
2026-08-04T08:25:52.522Z,read,TYPE,proof.mqtt:device:DEVICE-15,proof.mqtt:device:DEVICE-15,ok,27,
2026-08-04T08:25:52.522Z,read,TYPE,proof.mqtt:device:DEVICE-19,proof.mqtt:device:DEVICE-19,ok,27,
2026-08-04T08:25:52.529Z,write,HSET,proof.mqtt:device:DEVICE-19,ig_follower_count 3,ok,26,
2026-08-04T08:25:52.553Z,write,HSET,proof.mqtt:device:DEVICE-15,ig_follower_count 3,ok,31,
2026-08-04T08:25:52.553Z,write,HSET,proof.mqtt:device:DEVICE-15,gmb_review_count 1,ok,31,
2026-08-04T08:25:52.553Z,write,HSET,proof.mqtt:device:DEVICE-19,gmb_review_count 1,ok,31,
2026-08-04T08:25:52.556Z,write,EXPIRE,proof.mqtt:device:DEVICE-19,604800,ok,26,
2026-08-04T08:25:52.578Z,write,EXPIRE,proof.mqtt:device:DEVICE-15,604800,ok,25,
2026-08-04T08:25:52.578Z,write,EXPIRE,proof.mqtt:device:DEVICE-15,604800,ok,25,
2026-08-04T08:25:52.578Z,write,EXPIRE,proof.mqtt:device:DEVICE-19,604800,ok,25,
